"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Slughorn","Dumbledore","Ah yes. Regulus Black. You no doubt know of his older brother Sirius. Died a few weeks ago. I taught the whole Black family except Sirius. Shame. Talented boy. I got Regulus when he camealong, of course, but I?d have liked the set.","ah yes. regulus black. you no doubt know of his older brother sirius. died a few weeks ago. i taught the whole black family except sirius. shame. talented boy. i got regulus when he camealong, of course, but i?d have liked the set.","ah yes. regulus black. you no doubt know of his older brother sirius. died a few weeks ago. i taught the whole black family except sirius. shame. talented boy. i got regulus when he camealong, of course, but i?d have liked the set.","ah yes. regulus black.   doubt know   older brother sirius. died   weeks ago.  taught  whole black family except sirius. shame. talented boy.  got regulus   camealong,  course,  ?d  liked  set.","ah yes regulus black   doubt know   older brother sirius died   weeks ago  taught  whole black family except sirius shame talented boy  got regulus   camealong  course  d  liked  set","ah yes regulus black   doubt know   older brother sirius died   weeks ago  taught  whole black family except sirius shame talented boy  got regulus   camealong  course  d  liked  set","ah yes regulus black doubt know older brother sirius died weeks ago taught whole black family except sirius shame talented boy got regulus camealong course d liked set","ah ye regulu black doubt know older brother siriu di week ago taught whole black famili except siriu shame talent boi got regulu camealong cours d like set","ah yes regulus black doubt know old brother sirius die week ago teach whole black family except sirius shame talented boy get regulus camealong course have like set"
"Dumbledore","Slughorn","Mind if I take this? I do love knitting patterns.","mind if i take this? i do love knitting patterns.","mind if i take this? i do love knitting patterns.","mind   take ?   love knitting patterns.","mind   take    love knitting patterns","mind   take    love knitting patterns","mind take love knitting patterns","mind take love knit pattern","mind take love knit pattern"
"Slughorn","Dumbledore","Of course. But you?re not leaving?","of course. but you?re not leaving?","of course. but you?re not leaving?"," course.  ?re  leaving?"," course  re  leaving"," course  re  leaving"," course re leaving","cours re leav","course re leave"
"Dumbledore","Slughorn","I think I know a lost cause when I see one. Regrettable. I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.","i think i know a lost cause when i see one. regrettable. i would have considered it a personal triumph had you consented to return to hogwarts, horace.","i think i know a lost cause when i see one. regrettable. i would have considered it a personal triumph had you consented to return to hogwarts, horace."," think  know  lost cause   see one. regrettable.    considered   personal triumph   consented  return  hogwarts, horace."," think  know  lost cause   see one regrettable    considered   personal triumph   consented  return  hogwarts horace"," think  know  lost cause   see one regrettable    considered   personal triumph   consented  return  hogwarts horace"," think know lost cause see one regrettable considered personal triumph consented return hogwarts horace","think know lost caus see on regrett consid person triumph consent return hogwart horac","think know lose cause see one regrettable consider personal triumph consent return hogwarts horace"
"Dumbledore","Slughorn","You are, like my friend Mr. Potter --one of a kind.","you are, like my friend mr. potter --one of a kind.","you are, like my friend mr. potter --one of a kind."," , like  friend mr. potter --one   kind.","  like  friend mr potter one   kind","  like  friend mr potter one   kind"," like friend mr potter one kind","like friend mr potter on kind","like friend mr potter one kind"
"Slughorn","Dumbledore","All right! I?ll do it. But I?ll be wanting Professor Merrythought?s old office, not that water closet I had formerly. And I expect a raise! These are mad times we live in! Mad!","all right! i?ll do it. but i?ll be wanting professor merrythought?s old office, not that water closet i had formerly. and i expect a raise! these are mad times we live in! mad!","all right! i?ll do it. but i?ll be wanting professor merrythought?s old office, not that water closet i had formerly. and i expect a raise! these are mad times we live in! mad!"," right! ?ll  .  ?ll  wanting professor merrythought?s old office,   water closet   formerly.   expect  raise!   mad times  live ! mad!"," right ll    ll  wanting professor merrythoughts old office   water closet   formerly   expect  raise   mad times  live  mad"," right ll    ll  wanting professor merrythoughts old office   water closet   formerly   expect  raise   mad times  live  mad"," right ll ll wanting professor merrythoughts old office water closet formerly expect raise mad times live mad","right ll ll want professor merrythought old offic water closet formerli expect rais mad time live mad","right will will want professor merrythoughts old office water closet formerly expect raise mad time live mad"
"Dumbledore","Slughorn","Indeed they are.","indeed they are.","indeed they are.","indeed  .","indeed  ","indeed  ","indeed ","inde","indeed"
"Harry","Dumbledore","Sir, exactly what was that all --","sir, exactly what was that all --","sir, exactly what was that all --","sir, exactly     --","sir exactly     ","sir exactly     ","sir exactly ","sir exactli","sir exactly"
"Dumbledore","Harry","You are talented, famous and powerful -- everything Horace values. Professor Slughorn is going to try to collect you, Harry. You would be his crowning jewel. That is why he is returning to Hogwarts. And it is crucial he return?","you are talented, famous and powerful -- everything horace values. professor slughorn is going to try to collect you, harry. you would be his crowning jewel. that is why he is returning to hogwarts. and it is crucial he return?","you are talented, famous and powerful -- everything horace values. professor slughorn is going to try to collect you, harry. you would be his crowning jewel. that is why he is returning to hogwarts. and it is crucial he return?","  talented, famous  powerful -- everything horace values. professor slughorn  going  try  collect , harry.     crowning jewel.      returning  hogwarts.    crucial  return?","  talented famous  powerful  everything horace values professor slughorn  going  try  collect  harry     crowning jewel      returning  hogwarts    crucial  return","  talented famous  powerful  everything horace values professor slughorn  going  try  collect  harry     crowning jewel      returning  hogwarts    crucial  return"," talented famous powerful everything horace values professor slughorn going try collect harry crowning jewel returning hogwarts crucial return","talent famou power everyth horac valu professor slughorn go try collect harri crown jewel return hogwart crucial return","talented famous powerful everything horace value professor slughorn go try collect harry crown jewel return hogwarts crucial return"
"Dumbledore","Harry","I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. he girl.","i fear i may have stolen a wondrous night from you, harry. she was, truthfully, very pretty. he girl.","i fear i may have stolen a wondrous night from you, harry. she was, truthfully, very pretty. he girl."," fear  may  stolen  wondrous night  , harry.  , truthfully,  pretty.  girl."," fear  may  stolen  wondrous night   harry   truthfully  pretty  girl"," fear  may  stolen  wondrous night   harry   truthfully  pretty  girl"," fear may stolen wondrous night harry truthfully pretty girl","fear mai stolen wondrou night harri truthfulli pretti girl","fear may steal wondrous night harry truthfully pretty girl"
"Harry","Dumbledore","It?s alright, sir. I?ll go back tomorrow, make some excuse --","it?s alright, sir. i?ll go back tomorrow, make some excuse --","it?s alright, sir. i?ll go back tomorrow, make some excuse --","?s alright, sir. ?ll go back tomorrow, make  excuse --","s alright sir ll go back tomorrow make  excuse ","s alright sir ll go back tomorrow make  excuse ","s alright sir ll go back tomorrow make excuse "," alright sir ll go back tomorrow make excus","s alright sir will go back tomorrow make excuse"
"Dumbledore","Harry","You?ll not be going back to Little Whinging tonight, Harry.","you?ll not be going back to little whinging tonight, harry.","you?ll not be going back to little whinging tonight, harry.","?ll   going back  little whinging tonight, harry.","ll   going back  little whinging tonight harry","ll   going back  little whinging tonight harry","ll going back little whinging tonight harry","ll go back littl whing tonight harri","will go back little whinge tonight harry"
"Harry","Dumbledore","But, sir. What about Hedwig? And there?s my trunk --","but, sir. what about hedwig? and there?s my trunk --","but, sir. what about hedwig? and there?s my trunk --",", sir.   hedwig?  ?s  trunk --"," sir   hedwig  s  trunk "," sir   hedwig  s  trunk "," sir hedwig s trunk ","sir hedwig  trunk","sir hedwig s trunk"
"Dumbledore","Harry","Both are waiting for you.","both are waiting for you.","both are waiting for you.","  waiting  .","  waiting  ","  waiting  "," waiting ","wait","wait"
